Jurisdiction,Year,IPCC_cat_code,Product,Tax_dummy,ETS_dummy,Tax_rate_excl_ex_clc,Tax_ex_rate,ETS_price
Canada,1987,3B3,,,,,,
Canada,1987,3B3A,,,,,,
Canada,1987,3B3B,,,,,,
Canada,1987,3B4,,,,,,
Canada,1987,3B4A,,,,,,
Canada,1987,3B4B,,,,,,
Canada,1987,3B5,,,,,,
Canada,1987,3B5A,,,,,,
Canada,1987,3B5B,,,,,,
Canada,1987,3B6,,,,,,
Canada,1987,3B6A,,,,,,
Canada,1987,3B6B,,,,,,
Canada,1987,3B6B1,,,,,,
Canada,1987,3B6B2,,,,,,
Canada,1987,3B6B3,,,,,,
Canada,1987,3B6B4,,,,,,
Canada,1987,3B6B5,,,,,,
Canada,1987,3C,,,,,,
Canada,1987,3C1,,,,,,
Canada,1987,3C2,,,,,,
Canada,1987,3C3,,,,,,
Canada,1987,3C4,,,,,,
Canada,1987,3C5,,,,,,
Canada,1987,3C6,,,,,,
Canada,1987,3C7,,,,,,
Canada,1987,3C8,,,,,,
Canada,1987,3D,,,,,,
Canada,1987,3D1,,,,,,
Canada,1987,3D2,,,,,,
Canada,1987,4,,,,,,
Canada,1987,4A,,,,,,
Canada,1987,4A1,,,,,,
Canada,1987,4A2,,,,,,
Canada,1987,4A3,,,,,,
Canada,1987,4B,,,,,,
Canada,1987,4C,,,,,,
Canada,1987,4C1,,,,,,
Canada,1987,4C2,,,,,,
Canada,1987,4D,,,,,,
Canada,1987,4D1,,,,,,
Canada,1987,4D2,,,,,,
Canada,1987,4E,,,,,,
Canada,1987,5,,,,,,
Canada,1987,5A,,,,,,
Canada,1987,5A1,,,,,,
Canada,1987,5A2,,,,,,
Canada,1987,1A,Coal/peat,,,,,
Canada,1987,1A,Oil,,,,,
Canada,1987,1A,Natural gas,,,,,
Canada,1987,1A1,Coal/peat,,,,,
Canada,1987,1A1,Oil,,,,,
Canada,1987,1A1,Natural gas,,,,,
Canada,1987,1A1A,Coal/peat,,,,,
Canada,1987,1A1A,Oil,,,,,
Canada,1987,1A1A,Natural gas,,,,,
Canada,1987,1A1A1,Coal/peat,,,,,
Canada,1987,1A1A1,Oil,,,,,
Canada,1987,1A1A1,Natural gas,,,,,
Canada,1987,1A1A2,Coal/peat,,,,,
Canada,1987,1A1A2,Oil,,,,,
Canada,1987,1A1A2,Natural gas,,,,,
Canada,1987,1A1A3,Coal/peat,,,,,
Canada,1987,1A1A3,Oil,,,,,
Canada,1987,1A1A3,Natural gas,,,,,
Canada,1987,1A1B,Coal/peat,,,,,
Canada,1987,1A1B,Oil,,,,,
Canada,1987,1A1B,Natural gas,,,,,
Canada,1987,1A1C,Coal/peat,,,,,
Canada,1987,1A1C,Oil,,,,,
Canada,1987,1A1C,Natural gas,,,,,
Canada,1987,1A2,Coal/peat,,,,,
Canada,1987,1A2,Oil,,,,,
Canada,1987,1A2,Natural gas,,,,,
Canada,1987,1A2A,Coal/peat,,,,,
Canada,1987,1A2A,Oil,,,,,
Canada,1987,1A2A,Natural gas,,,,,
Canada,1987,1A2B,Coal/peat,,,,,
Canada,1987,1A2B,Oil,,,,,
Canada,1987,1A2B,Natural gas,,,,,
Canada,1987,1A2C,Coal/peat,,,,,
Canada,1987,1A2C,Oil,,,,,
Canada,1987,1A2C,Natural gas,,,,,
Canada,1987,1A2D,Coal/peat,,,,,
Canada,1987,1A2D,Oil,,,,,
Canada,1987,1A2D,Natural gas,,,,,
Canada,1987,1A2E,Coal/peat,,,,,
Canada,1987,1A2E,Oil,,,,,
Canada,1987,1A2E,Natural gas,,,,,
Canada,1987,1A2F,Coal/peat,,,,,
Canada,1987,1A2F,Oil,,,,,
Canada,1987,1A2F,Natural gas,,,,,
Canada,1987,1A2G,Coal/peat,,,,,
Canada,1987,1A2G,Oil,,,,,
Canada,1987,1A2G,Natural gas,,,,,
Canada,1987,1A2H,Coal/peat,,,,,
Canada,1987,1A2H,Oil,,,,,
Canada,1987,1A2H,Natural gas,,,,,
Canada,1987,1A2I,Coal/peat,,,,,
Canada,1987,1A2I,Oil,,,,,
Canada,1987,1A2I,Natural gas,,,,,
Canada,1987,1A2J,Coal/peat,,,,,
Canada,1987,1A2J,Oil,,,,,
Canada,1987,1A2J,Natural gas,,,,,
Canada,1987,1A2K,Coal/peat,,,,,
Canada,1987,1A2K,Oil,,,,,
Canada,1987,1A2K,Natural gas,,,,,
Canada,1987,1A2L,Coal/peat,,,,,
Canada,1987,1A2L,Oil,,,,,
Canada,1987,1A2L,Natural gas,,,,,
Canada,1987,1A2M,Coal/peat,,,,,
Canada,1987,1A2M,Oil,,,,,
Canada,1987,1A2M,Natural gas,,,,,
Canada,1987,1A3,Coal/peat,,,,,
Canada,1987,1A3,Oil,,,,,
Canada,1987,1A3,Natural gas,,,,,
Canada,1987,1A3A,Coal/peat,,,,,
Canada,1987,1A3A,Oil,,,,,
Canada,1987,1A3A,Natural gas,,,,,
Canada,1987,1A3A1,Coal/peat,,,,,
Canada,1987,1A3A1,Oil,,,,,
Canada,1987,1A3A1,Natural gas,,,,,
Canada,1987,1A3A2,Coal/peat,,,,,
Canada,1987,1A3A2,Oil,,,,,
Canada,1987,1A3A2,Natural gas,,,,,
Canada,1987,1A3B,Coal/peat,,,,,
Canada,1987,1A3B,Oil,,,,,
Canada,1987,1A3B,Natural gas,,,,,
Canada,1987,1A3C,Coal/peat,,,,,
Canada,1987,1A3C,Oil,,,,,
Canada,1987,1A3C,Natural gas,,,,,
Canada,1987,1A3D,Coal/peat,,,,,
Canada,1987,1A3D,Oil,,,,,
Canada,1987,1A3D,Natural gas,,,,,
Canada,1987,1A3D1,Coal/peat,,,,,
Canada,1987,1A3D1,Oil,,,,,
Canada,1987,1A3D1,Natural gas,,,,,
Canada,1987,1A3D2,Coal/peat,,,,,
Canada,1987,1A3D2,Oil,,,,,
Canada,1987,1A3D2,Natural gas,,,,,
Canada,1987,1A3E,Coal/peat,,,,,
Canada,1987,1A3E,Oil,,,,,
Canada,1987,1A3E,Natural gas,,,,,
Canada,1987,1A3E1,Coal/peat,,,,,
Canada,1987,1A3E1,Oil,,,,,
Canada,1987,1A3E1,Natural gas,,,,,
Canada,1987,1A4,Coal/peat,,,,,
Canada,1987,1A4,Oil,,,,,
Canada,1987,1A4,Natural gas,,,,,
Canada,1987,1A4A,Coal/peat,,,,,
Canada,1987,1A4A,Oil,,,,,
Canada,1987,1A4A,Natural gas,,,,,
Canada,1987,1A4B,Coal/peat,,,,,
Canada,1987,1A4B,Oil,,,,,
Canada,1987,1A4B,Natural gas,,,,,
Canada,1987,1A4C,Coal/peat,,,,,
Canada,1987,1A4C,Oil,,,,,
Canada,1987,1A4C,Natural gas,,,,,
Canada,1987,1A4C1,Coal/peat,,,,,
Canada,1987,1A4C1,Oil,,,,,
Canada,1987,1A4C1,Natural gas,,,,,
Canada,1987,1A4C2,Coal/peat,,,,,
Canada,1987,1A4C2,Oil,,,,,
Canada,1987,1A4C2,Natural gas,,,,,
Canada,1987,1A4C3,Coal/peat,,,,,
Canada,1987,1A4C3,Oil,,,,,
Canada,1987,1A4C3,Natural gas,,,,,
Canada,1987,1A5,Coal/peat,,,,,
Canada,1987,1A5,Oil,,,,,
Canada,1987,1A5,Natural gas,,,,,
Canada,1987,1A5A,Coal/peat,,,,,
Canada,1987,1A5A,Oil,,,,,
Canada,1987,1A5A,Natural gas,,,,,
Canada,1987,1A5B,Coal/peat,,,,,
Canada,1987,1A5B,Oil,,,,,
Canada,1987,1A5B,Natural gas,,,,,
Canada,1987,1A5C,Coal/peat,,,,,
Canada,1987,1A5C,Oil,,,,,
Canada,1987,1A5C,Natural gas,,,,,
Canada,1988,0,,,,,,
Canada,1988,1,,,,,,
Canada,1988,1B,,,,,,
Canada,1988,1B1,,,,,,
Canada,1988,1B1A,,,,,,
Canada,1988,1B1A1,,,,,,
Canada,1988,1B1A11,,,,,,
Canada,1988,1B1A12,,,,,,
Canada,1988,1B1A13,,,,,,
Canada,1988,1B1A14,,,,,,
Canada,1988,1B1A2,,,,,,
Canada,1988,1B1A21,,,,,,
Canada,1988,1B1A22,,,,,,
Canada,1988,1B1B,,,,,,
Canada,1988,1B2,,,,,,
Canada,1988,1B2A,,,,,,
Canada,1988,1B2A1,,,,,,
Canada,1988,1B2A2,,,,,,
Canada,1988,1B2A3,,,,,,
Canada,1988,1B2A31,,,,,,
Canada,1988,1B2A32,,,,,,
Canada,1988,1B2A33,,,,,,
Canada,1988,1B2A34,,,,,,
Canada,1988,1B2A35,,,,,,
Canada,1988,1B2A36,,,,,,
Canada,1988,1B2B,,,,,,
Canada,1988,1B2B1,,,,,,
Canada,1988,1B2B2,,,,,,
Canada,1988,1B2B3,,,,,,
Canada,1988,1B2B31,,,,,,
Canada,1988,1B2B32,,,,,,
Canada,1988,1B2B33,,,,,,
Canada,1988,1B2B34,,,,,,
Canada,1988,1B2B35,,,,,,
Canada,1988,1B2B36,,,,,,
Canada,1988,1B3,,,,,,
Canada,1988,1C,,,,,,
Canada,1988,1C1,,,,,,
Canada,1988,1C1A,,,,,,
Canada,1988,1C1B,,,,,,
Canada,1988,1C1C,,,,,,
Canada,1988,1C2,,,,,,
Canada,1988,1C2A,,,,,,
Canada,1988,1C2B,,,,,,
Canada,1988,1C3,,,,,,
Canada,1988,2,,,,,,
Canada,1988,2A,,,,,,
Canada,1988,2A1,,,,,,
Canada,1988,2A2,,,,,,
Canada,1988,2A3,,,,,,
Canada,1988,2A4,,,,,,
Canada,1988,2A4A,,,,,,
Canada,1988,2A4B,,,,,,
Canada,1988,2A4C,,,,,,
Canada,1988,2A4D,,,,,,
Canada,1988,2B,,,,,,
Canada,1988,2B1,,,,,,
Canada,1988,2B2,,,,,,
Canada,1988,2B3,,,,,,
Canada,1988,2B4,,,,,,
Canada,1988,2B5,,,,,,
Canada,1988,2B6,,,,,,
Canada,1988,2B7,,,,,,
Canada,1988,2B8,,,,,,
Canada,1988,2B8A,,,,,,
Canada,1988,2B8B,,,,,,
Canada,1988,2B8C,,,,,,
Canada,1988,2B8D,,,,,,
Canada,1988,2B8E,,,,,,
Canada,1988,2B8F,,,,,,
Canada,1988,2B9,,,,,,
Canada,1988,2B9A,,,,,,
Canada,1988,2B9B,,,,,,
Canada,1988,2B10,,,,,,
Canada,1988,2C,,,,,,
Canada,1988,2C1,,,,,,
Canada,1988,2C2,,,,,,
Canada,1988,2C3,,,,,,
Canada,1988,2C4,,,,,,
Canada,1988,2C5,,,,,,
Canada,1988,2C6,,,,,,
Canada,1988,2C7,,,,,,
Canada,1988,2D,,,,,,
Canada,1988,2D1,,,,,,
Canada,1988,2D2,,,,,,
Canada,1988,2D3,,,,,,
Canada,1988,2D4,,,,,,
Canada,1988,2E,,,,,,
Canada,1988,20,,,,,,
Canada,1988,200,,,,,,
Canada,1988,2000,,,,,,
Canada,1988,20000,,,,,,
Canada,1988,200000,,,,,,
Canada,1988,2F,,,,,,
Canada,1988,2F1,,,,,,
Canada,1988,2F2,,,,,,
Canada,1988,2F3,,,,,,
Canada,1988,2F4,,,,,,
Canada,1988,2F5,,,,,,
Canada,1988,2F6,,,,,,
Canada,1988,2G,,,,,,
Canada,1988,2G1,,,,,,
Canada,1988,2G2,,,,,,
Canada,1988,2G3,,,,,,
Canada,1988,2G4,,,,,,
Canada,1988,2H,,,,,,
Canada,1988,2H1,,,,,,
Canada,1988,2H2,,,,,,
Canada,1988,2H3,,,,,,
Canada,1988,3,,,,,,
Canada,1988,3A,,,,,,
Canada,1988,3A1,,,,,,
Canada,1988,3A2,,,,,,
Canada,1988,3B,,,,,,
Canada,1988,3B1,,,,,,
Canada,1988,3B1A,,,,,,
Canada,1988,3B1B,,,,,,
Canada,1988,3B2,,,,,,
Canada,1988,3B2A,,,,,,
Canada,1988,3B2B,,,,,,
Canada,1988,3B3,,,,,,
Canada,1988,3B3A,,,,,,
Canada,1988,3B3B,,,,,,
Canada,1988,3B4,,,,,,
Canada,1988,3B4A,,,,,,
Canada,1988,3B4B,,,,,,
Canada,1988,3B5,,,,,,
Canada,1988,3B5A,,,,,,
Canada,1988,3B5B,,,,,,
Canada,1988,3B6,,,,,,
Canada,1988,3B6A,,,,,,
Canada,1988,3B6B,,,,,,
Canada,1988,3B6B1,,,,,,
Canada,1988,3B6B2,,,,,,
Canada,1988,3B6B3,,,,,,
Canada,1988,3B6B4,,,,,,
Canada,1988,3B6B5,,,,,,
Canada,1988,3C,,,,,,
Canada,1988,3C1,,,,,,
Canada,1988,3C2,,,,,,
Canada,1988,3C3,,,,,,
Canada,1988,3C4,,,,,,
Canada,1988,3C5,,,,,,
Canada,1988,3C6,,,,,,
Canada,1988,3C7,,,,,,
Canada,1988,3C8,,,,,,
Canada,1988,3D,,,,,,
Canada,1988,3D1,,,,,,
Canada,1988,3D2,,,,,,
Canada,1988,4,,,,,,
Canada,1988,4A,,,,,,
Canada,1988,4A1,,,,,,
Canada,1988,4A2,,,,,,
Canada,1988,4A3,,,,,,
Canada,1988,4B,,,,,,
Canada,1988,4C,,,,,,
Canada,1988,4C1,,,,,,
Canada,1988,4C2,,,,,,
Canada,1988,4D,,,,,,
Canada,1988,4D1,,,,,,
Canada,1988,4D2,,,,,,
Canada,1988,4E,,,,,,
Canada,1988,5,,,,,,
Canada,1988,5A,,,,,,
Canada,1988,5A1,,,,,,
Canada,1988,5A2,,,,,,
Canada,1988,1A,Coal/peat,,,,,
Canada,1988,1A,Oil,,,,,
Canada,1988,1A,Natural gas,,,,,
Canada,1988,1A1,Coal/peat,,,,,
Canada,1988,1A1,Oil,,,,,
Canada,1988,1A1,Natural gas,,,,,
Canada,1988,1A1A,Coal/peat,,,,,
Canada,1988,1A1A,Oil,,,,,
Canada,1988,1A1A,Natural gas,,,,,
Canada,1988,1A1A1,Coal/peat,,,,,
Canada,1988,1A1A1,Oil,,,,,
Canada,1988,1A1A1,Natural gas,,,,,
Canada,1988,1A1A2,Coal/peat,,,,,
Canada,1988,1A1A2,Oil,,,,,
Canada,1988,1A1A2,Natural gas,,,,,
Canada,1988,1A1A3,Coal/peat,,,,,
Canada,1988,1A1A3,Oil,,,,,
Canada,1988,1A1A3,Natural gas,,,,,
Canada,1988,1A1B,Coal/peat,,,,,
Canada,1988,1A1B,Oil,,,,,
Canada,1988,1A1B,Natural gas,,,,,
Canada,1988,1A1C,Coal/peat,,,,,
Canada,1988,1A1C,Oil,,,,,
Canada,1988,1A1C,Natural gas,,,,,
Canada,1988,1A2,Coal/peat,,,,,
Canada,1988,1A2,Oil,,,,,
Canada,1988,1A2,Natural gas,,,,,
Canada,1988,1A2A,Coal/peat,,,,,
Canada,1988,1A2A,Oil,,,,,
Canada,1988,1A2A,Natural gas,,,,,
Canada,1988,1A2B,Coal/peat,,,,,
Canada,1988,1A2B,Oil,,,,,
Canada,1988,1A2B,Natural gas,,,,,
Canada,1988,1A2C,Coal/peat,,,,,
Canada,1988,1A2C,Oil,,,,,
Canada,1988,1A2C,Natural gas,,,,,
Canada,1988,1A2D,Coal/peat,,,,,
Canada,1988,1A2D,Oil,,,,,
Canada,1988,1A2D,Natural gas,,,,,
Canada,1988,1A2E,Coal/peat,,,,,
Canada,1988,1A2E,Oil,,,,,
Canada,1988,1A2E,Natural gas,,,,,
Canada,1988,1A2F,Coal/peat,,,,,
Canada,1988,1A2F,Oil,,,,,
Canada,1988,1A2F,Natural gas,,,,,
Canada,1988,1A2G,Coal/peat,,,,,
Canada,1988,1A2G,Oil,,,,,
Canada,1988,1A2G,Natural gas,,,,,
Canada,1988,1A2H,Coal/peat,,,,,
Canada,1988,1A2H,Oil,,,,,
Canada,1988,1A2H,Natural gas,,,,,
Canada,1988,1A2I,Coal/peat,,,,,
Canada,1988,1A2I,Oil,,,,,
Canada,1988,1A2I,Natural gas,,,,,
Canada,1988,1A2J,Coal/peat,,,,,
Canada,1988,1A2J,Oil,,,,,
Canada,1988,1A2J,Natural gas,,,,,
Canada,1988,1A2K,Coal/peat,,,,,
Canada,1988,1A2K,Oil,,,,,
Canada,1988,1A2K,Natural gas,,,,,
Canada,1988,1A2L,Coal/peat,,,,,
Canada,1988,1A2L,Oil,,,,,
Canada,1988,1A2L,Natural gas,,,,,
Canada,1988,1A2M,Coal/peat,,,,,
Canada,1988,1A2M,Oil,,,,,
Canada,1988,1A2M,Natural gas,,,,,
Canada,1988,1A3,Coal/peat,,,,,
Canada,1988,1A3,Oil,,,,,
Canada,1988,1A3,Natural gas,,,,,
Canada,1988,1A3A,Coal/peat,,,,,
Canada,1988,1A3A,Oil,,,,,
Canada,1988,1A3A,Natural gas,,,,,
Canada,1988,1A3A1,Coal/peat,,,,,
Canada,1988,1A3A1,Oil,,,,,
Canada,1988,1A3A1,Natural gas,,,,,
Canada,1988,1A3A2,Coal/peat,,,,,
Canada,1988,1A3A2,Oil,,,,,
Canada,1988,1A3A2,Natural gas,,,,,
Canada,1988,1A3B,Coal/peat,,,,,
Canada,1988,1A3B,Oil,,,,,
Canada,1988,1A3B,Natural gas,,,,,
Canada,1988,1A3C,Coal/peat,,,,,
Canada,1988,1A3C,Oil,,,,,
Canada,1988,1A3C,Natural gas,,,,,
Canada,1988,1A3D,Coal/peat,,,,,
Canada,1988,1A3D,Oil,,,,,
Canada,1988,1A3D,Natural gas,,,,,
Canada,1988,1A3D1,Coal/peat,,,,,
Canada,1988,1A3D1,Oil,,,,,
Canada,1988,1A3D1,Natural gas,,,,,
Canada,1988,1A3D2,Coal/peat,,,,,
Canada,1988,1A3D2,Oil,,,,,
Canada,1988,1A3D2,Natural gas,,,,,
Canada,1988,1A3E,Coal/peat,,,,,
Canada,1988,1A3E,Oil,,,,,
Canada,1988,1A3E,Natural gas,,,,,
Canada,1988,1A3E1,Coal/peat,,,,,
Canada,1988,1A3E1,Oil,,,,,
Canada,1988,1A3E1,Natural gas,,,,,
Canada,1988,1A4,Coal/peat,,,,,
Canada,1988,1A4,Oil,,,,,
Canada,1988,1A4,Natural gas,,,,,
Canada,1988,1A4A,Coal/peat,,,,,
Canada,1988,1A4A,Oil,,,,,
Canada,1988,1A4A,Natural gas,,,,,
Canada,1988,1A4B,Coal/peat,,,,,
Canada,1988,1A4B,Oil,,,,,
Canada,1988,1A4B,Natural gas,,,,,
Canada,1988,1A4C,Coal/peat,,,,,
Canada,1988,1A4C,Oil,,,,,
Canada,1988,1A4C,Natural gas,,,,,
Canada,1988,1A4C1,Coal/peat,,,,,
Canada,1988,1A4C1,Oil,,,,,
Canada,1988,1A4C1,Natural gas,,,,,
Canada,1988,1A4C2,Coal/peat,,,,,
Canada,1988,1A4C2,Oil,,,,,
Canada,1988,1A4C2,Natural gas,,,,,
Canada,1988,1A4C3,Coal/peat,,,,,
Canada,1988,1A4C3,Oil,,,,,
Canada,1988,1A4C3,Natural gas,,,,,
Canada,1988,1A5,Coal/peat,,,,,
Canada,1988,1A5,Oil,,,,,
Canada,1988,1A5,Natural gas,,,,,
Canada,1988,1A5A,Coal/peat,,,,,
Canada,1988,1A5A,Oil,,,,,
Canada,1988,1A5A,Natural gas,,,,,
Canada,1988,1A5B,Coal/peat,,,,,
Canada,1988,1A5B,Oil,,,,,
Canada,1988,1A5B,Natural gas,,,,,
Canada,1988,1A5C,Coal/peat,,,,,
Canada,1988,1A5C,Oil,,,,,
Canada,1988,1A5C,Natural gas,,,,,
Canada,1989,0,,,,,,
Canada,1989,1,,,,,,
Canada,1989,1B,,,,,,
Canada,1989,1B1,,,,,,
Canada,1989,1B1A,,,,,,
Canada,1989,1B1A1,,,,,,
Canada,1989,1B1A11,,,,,,
Canada,1989,1B1A12,,,,,,
Canada,1989,1B1A13,,,,,,
Canada,1989,1B1A14,,,,,,
Canada,1989,1B1A2,,,,,,
Canada,1989,1B1A21,,,,,,
Canada,1989,1B1A22,,,,,,
Canada,1989,1B1B,,,,,,
Canada,1989,1B2,,,,,,
Canada,1989,1B2A,,,,,,
Canada,1989,1B2A1,,,,,,
Canada,1989,1B2A2,,,,,,
Canada,1989,1B2A3,,,,,,
Canada,1989,1B2A31,,,,,,
Canada,1989,1B2A32,,,,,,
Canada,1989,1B2A33,,,,,,
Canada,1989,1B2A34,,,,,,
Canada,1989,1B2A35,,,,,,
Canada,1989,1B2A36,,,,,,
Canada,1989,1B2B,,,,,,
Canada,1989,1B2B1,,,,,,
Canada,1989,1B2B2,,,,,,
Canada,1989,1B2B3,,,,,,
Canada,1989,1B2B31,,,,,,
Canada,1989,1B2B32,,,,,,
Canada,1989,1B2B33,,,,,,
Canada,1989,1B2B34,,,,,,
Canada,1989,1B2B35,,,,,,
Canada,1989,1B2B36,,,,,,
Canada,1989,1B3,,,,,,
Canada,1989,1C,,,,,,
Canada,1989,1C1,,,,,,
Canada,1989,1C1A,,,,,,
Canada,1989,1C1B,,,,,,
Canada,1989,1C1C,,,,,,
Canada,1989,1C2,,,,,,
Canada,1989,1C2A,,,,,,
Canada,1989,1C2B,,,,,,
Canada,1989,1C3,,,,,,
Canada,1989,2,,,,,,
Canada,1989,2A,,,,,,
Canada,1989,2A1,,,,,,
Canada,1989,2A2,,,,,,
Canada,1989,2A3,,,,,,
Canada,1989,2A4,,,,,,
Canada,1989,2A4A,,,,,,
Canada,1989,2A4B,,,,,,
Canada,1989,2A4C,,,,,,
Canada,1989,2A4D,,,,,,
Canada,1989,2B,,,,,,
Canada,1989,2B1,,,,,,
Canada,1989,2B2,,,,,,
Canada,1989,2B3,,,,,,
Canada,1989,2B4,,,,,,
Canada,1989,2B5,,,,,,
Canada,1989,2B6,,,,,,
Canada,1989,2B7,,,,,,
Canada,1989,2B8,,,,,,
Canada,1989,2B8A,,,,,,
Canada,1989,2B8B,,,,,,
Canada,1989,2B8C,,,,,,
Canada,1989,2B8D,,,,,,
Canada,1989,2B8E,,,,,,
Canada,1989,2B8F,,,,,,
Canada,1989,2B9,,,,,,
Canada,1989,2B9A,,,,,,
Canada,1989,2B9B,,,,,,
Canada,1989,2B10,,,,,,
Canada,1989,2C,,,,,,
Canada,1989,2C1,,,,,,
Canada,1989,2C2,,,,,,
Canada,1989,2C3,,,,,,
Canada,1989,2C4,,,,,,
Canada,1989,2C5,,,,,,
Canada,1989,2C6,,,,,,
Canada,1989,2C7,,,,,,
Canada,1989,2D,,,,,,
Canada,1989,2D1,,,,,,
Canada,1989,2D2,,,,,,
Canada,1989,2D3,,,,,,
Canada,1989,2D4,,,,,,
Canada,1989,2E,,,,,,
Canada,1989,20,,,,,,
Canada,1989,200,,,,,,
Canada,1989,2000,,,,,,
Canada,1989,20000,,,,,,
Canada,1989,200000,,,,,,
Canada,1989,2F,,,,,,
Canada,1989,2F1,,,,,,
Canada,1989,2F2,,,,,,
Canada,1989,2F3,,,,,,
Canada,1989,2F4,,,,,,
Canada,1989,2F5,,,,,,
Canada,1989,2F6,,,,,,
Canada,1989,2G,,,,,,
Canada,1989,2G1,,,,,,
Canada,1989,2G2,,,,,,
Canada,1989,2G3,,,,,,
Canada,1989,2G4,,,,,,
Canada,1989,2H,,,,,,
Canada,1989,2H1,,,,,,
Canada,1989,2H2,,,,,,
Canada,1989,2H3,,,,,,
Canada,1989,3,,,,,,
Canada,1989,3A,,,,,,
Canada,1989,3A1,,,,,,
Canada,1989,3A2,,,,,,
Canada,1989,3B,,,,,,
Canada,1989,3B1,,,,,,
Canada,1989,3B1A,,,,,,
Canada,1989,3B1B,,,,,,
Canada,1989,3B2,,,,,,
Canada,1989,3B2A,,,,,,
Canada,1989,3B2B,,,,,,
Canada,1989,3B3,,,,,,
Canada,1989,3B3A,,,,,,
Canada,1989,3B3B,,,,,,
Canada,1989,3B4,,,,,,
Canada,1989,3B4A,,,,,,
Canada,1989,3B4B,,,,,,
Canada,1989,3B5,,,,,,
Canada,1989,3B5A,,,,,,
Canada,1989,3B5B,,,,,,
Canada,1989,3B6,,,,,,
Canada,1989,3B6A,,,,,,
Canada,1989,3B6B,,,,,,
Canada,1989,3B6B1,,,,,,
Canada,1989,3B6B2,,,,,,
Canada,1989,3B6B3,,,,,,
Canada,1989,3B6B4,,,,,,
Canada,1989,3B6B5,,,,,,
Canada,1989,3C,,,,,,
Canada,1989,3C1,,,,,,
Canada,1989,3C2,,,,,,
Canada,1989,3C3,,,,,,
Canada,1989,3C4,,,,,,
Canada,1989,3C5,,,,,,
Canada,1989,3C6,,,,,,
Canada,1989,3C7,,,,,,
Canada,1989,3C8,,,,,,
Canada,1989,3D,,,,,,
Canada,1989,3D1,,,,,,
Canada,1989,3D2,,,,,,
Canada,1989,4,,,,,,
Canada,1989,4A,,,,,,
Canada,1989,4A1,,,,,,
Canada,1989,4A2,,,,,,
Canada,1989,4A3,,,,,,
Canada,1989,4B,,,,,,
Canada,1989,4C,,,,,,
Canada,1989,4C1,,,,,,
Canada,1989,4C2,,,,,,
Canada,1989,4D,,,,,,
Canada,1989,4D1,,,,,,
Canada,1989,4D2,,,,,,
Canada,1989,4E,,,,,,
Canada,1989,5,,,,,,
Canada,1989,5A,,,,,,
Canada,1989,5A1,,,,,,
Canada,1989,5A2,,,,,,
Canada,1989,1A,Coal/peat,,,,,
Canada,1989,1A,Oil,,,,,
Canada,1989,1A,Natural gas,,,,,
Canada,1989,1A1,Coal/peat,,,,,
Canada,1989,1A1,Oil,,,,,
Canada,1989,1A1,Natural gas,,,,,
Canada,1989,1A1A,Coal/peat,,,,,
Canada,1989,1A1A,Oil,,,,,
Canada,1989,1A1A,Natural gas,,,,,
Canada,1989,1A1A1,Coal/peat,,,,,
Canada,1989,1A1A1,Oil,,,,,
Canada,1989,1A1A1,Natural gas,,,,,
Canada,1989,1A1A2,Coal/peat,,,,,
Canada,1989,1A1A2,Oil,,,,,
Canada,1989,1A1A2,Natural gas,,,,,
Canada,1989,1A1A3,Coal/peat,,,,,
Canada,1989,1A1A3,Oil,,,,,
Canada,1989,1A1A3,Natural gas,,,,,
Canada,1989,1A1B,Coal/peat,,,,,
Canada,1989,1A1B,Oil,,,,,
Canada,1989,1A1B,Natural gas,,,,,
Canada,1989,1A1C,Coal/peat,,,,,
Canada,1989,1A1C,Oil,,,,,
Canada,1989,1A1C,Natural gas,,,,,
Canada,1989,1A2,Coal/peat,,,,,
Canada,1989,1A2,Oil,,,,,
Canada,1989,1A2,Natural gas,,,,,
Canada,1989,1A2A,Coal/peat,,,,,
Canada,1989,1A2A,Oil,,,,,
Canada,1989,1A2A,Natural gas,,,,,
Canada,1989,1A2B,Coal/peat,,,,,
Canada,1989,1A2B,Oil,,,,,
Canada,1989,1A2B,Natural gas,,,,,
Canada,1989,1A2C,Coal/peat,,,,,
Canada,1989,1A2C,Oil,,,,,
Canada,1989,1A2C,Natural gas,,,,,
Canada,1989,1A2D,Coal/peat,,,,,
Canada,1989,1A2D,Oil,,,,,
Canada,1989,1A2D,Natural gas,,,,,
Canada,1989,1A2E,Coal/peat,,,,,
Canada,1989,1A2E,Oil,,,,,
Canada,1989,1A2E,Natural gas,,,,,
Canada,1989,1A2F,Coal/peat,,,,,
Canada,1989,1A2F,Oil,,,,,
Canada,1989,1A2F,Natural gas,,,,,
Canada,1989,1A2G,Coal/peat,,,,,
Canada,1989,1A2G,Oil,,,,,
Canada,1989,1A2G,Natural gas,,,,,
Canada,1989,1A2H,Coal/peat,,,,,
Canada,1989,1A2H,Oil,,,,,
Canada,1989,1A2H,Natural gas,,,,,
Canada,1989,1A2I,Coal/peat,,,,,
Canada,1989,1A2I,Oil,,,,,
Canada,1989,1A2I,Natural gas,,,,,
Canada,1989,1A2J,Coal/peat,,,,,
Canada,1989,1A2J,Oil,,,,,
Canada,1989,1A2J,Natural gas,,,,,
Canada,1989,1A2K,Coal/peat,,,,,
Canada,1989,1A2K,Oil,,,,,
Canada,1989,1A2K,Natural gas,,,,,
